label_raw,current_role,n,handles
place cards,other,5,3
deserts,other,5,1
planner + caterer,planner,5,1
planner + designer,planner,5,1
tabletops and rentals,rentals,5,4
by,other,5,5
tablescape rentals,rentals,5,4
groom’s tuxedo,attire,5,2
table setting rentals,rentals,5,2
table draping,other,5,1
design & production,other,5,4
plantscapes,other,5,1
supporting photographers,photographer,5,3
invitations & signage,stationery,5,4
pre,other,5,5
custom linens and placemats,rentals,5,1
print,other,5,2
bride's accessories,other,5,3
groom details,other,5,1
content by,videographer,5,4
floral + lighting,florist,5,1
bartender,other,5,4
string musicians,musician,5,3
steaming,other,5,1
graphic designer,other,5,5
floral design + decor,florist,5,3
stationery designer,stationery,5,4
stationery design,stationery,5,4
gown salon,attire,5,1
bridal party hair,hair,5,1
beverages,other,5,3
staging,other,5,2
grooms suit designer,attire,4,2
bridal henna,attire,4,4
bride’s gown & veil,attire,4,4
event planning & design,planner,4,4
planner & catering,planner,4,2
event planning & decor,planner,4,2
tailoring,jeweler,4,2
photograper,photographer,4,2
guestbook,other,4,3
wedding planning & design,planner,4,1
the dessert,cake,4,2
planner & florals,planner,4,2
planner & florist,planner,4,3
the drapery & the platform,other,4,1
event designers,other,4,2
photo assists,photographer,4,4
chuppah,other,4,2
ryan’s wedding attire,attire,4,4
late night dress,attire,4,2
photo + content,photographer,4,1
the mua,beauty_other,4,2
bridal fashion,attire,4,2
art director,other,4,4
planner and creative director,planner,4,2
hair & makeup artist,hair,4,4
late night bites,other,4,3
planner and florist,planner,4,3
espresso station,other,4,1
ceremony & cocktail music,musician,4,2
escort wall,other,4,2
ice cream truck,other,4,4
ceramics,other,4,2
film labs,videographer,4,2
alongside some of our favs,other,4,4
hair & makeup direction,hair,4,4
wedding planning and design,planner,4,2
bride’s ceremony dress,attire,4,4
ceremony violin,other,4,1
pastry chef,other,4,1
after,other,4,2
hair + make up,hair,4,3
entertainment production,dj,4,1
party guest phone,other,4,1
working on behalf of,other,4,2
wedding reception venue,venue,4,1
party dress,attire,4,3
hair + mu,hair,4,2
papergoods,stationery,4,4
paper products & calligrapher,stationery,4,1
entertainment + photo booth,photobooth,4,2
entertainment + dj,dj,4,2
hair and makeup artist,hair,4,4
entertainment & lighting,dj,4,3
lashes,other,4,3
paebaek ceremony,other,4,1
tablecloth,other,4,1
engraver,other,4,2
tie,other,4,1
groom’s wedding band,band,4,3
