post_url,parser_version,line_no,handle,label_raw,old_role,new_role,old_rule_id,new_rule_id
"https://www.instagram.com/p/DXz_XL_iYWD/","stack-parser-ts-v10",6,"jumpman23","Shoes","accessories","shoes","exact","exact"
"https://www.instagram.com/p/DXZ3-ycCRPP/","stack-parser-ts-v10",7,"bhldn","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DXz87QfFMxJ/","stack-parser-ts-v10",8,"graceandivoryofficial","Dresses","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DXz87QfFMxJ/","stack-parser-ts-v10",9,"suitshopofficial","Suit","attire","menswear","exact","exact"
"https://www.instagram.com/p/DXz87QfFMxJ/","stack-parser-ts-v10",10,"somethingwhitestyling","Party Dresses","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DXz87QfFMxJ/","stack-parser-ts-v10",11,"jaxiebridal","Accessories","accessories","accessories","exact","exact"
"https://www.instagram.com/p/DXZapviEbYo/","stack-parser-ts-v10",11,"susansamwaybridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DXzbqsQDBI5/","stack-parser-ts-v10",8,"maggiesotterodesigns","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DXzbqsQDBI5/","stack-parser-ts-v10",12,"marianmayatelier","Accessories","accessories","accessories","exact","exact"
"https://www.instagram.com/p/DXzdl4QCtPI/","stack-parser-ts-v10",12,"weddings826","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DXzhO_kCfB1/","stack-parser-ts-v10",9,"honey_bridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DXzY_CiFOVx/","stack-parser-ts-v10",15,"theblacktux","Suit","attire","menswear","exact","exact"
"https://www.instagram.com/p/DY-GxK_FX_M/","stack-parser-ts-v10",14,"honey_bridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY-GxK_FX_M/","stack-parser-ts-v10",16,"dgcustomsuits","Suit","attire","menswear","exact","exact"
"https://www.instagram.com/p/DY03t-Xja65/","stack-parser-ts-v10",5,"vwidon","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY0KKcDmb5Q/","stack-parser-ts-v10",13,"missstellayork","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY0KKcDmb5Q/","stack-parser-ts-v10",14,"enzocustom","Suit","attire","menswear","exact","exact"
"https://www.instagram.com/p/DY0MmziiZpa/","stack-parser-ts-v10",14,"daniellefrankelbride","BRIDAL ATTIRE","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY0MmziiZpa/","stack-parser-ts-v10",14,"manoloblahnik","BRIDAL ATTIRE","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY0MmziiZpa/","stack-parser-ts-v10",15,"indochinoweddings","GROOM ATTIRE","attire","menswear","exact","exact"
"https://www.instagram.com/p/DY0my2DDXf5/","stack-parser-ts-v10",7,"bellebridalatelier","Bride Attire","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY0my2DDXf5/","stack-parser-ts-v10",9,"theblacktux","Groom Attire","attire","menswear","exact","exact"
"https://www.instagram.com/p/DY0TLlEDmX3/","stack-parser-ts-v10",6,"frontroomcouture_naperville","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY0TLlEDmX3/","stack-parser-ts-v10",9,"macys","Menswear","attire","menswear","exact","exact"
"https://www.instagram.com/p/DY0zIiVkUM5/","stack-parser-ts-v10",14,"weddings826","dress & alterations","attire","wedding_dress","compound(exact+exact)","compound(exact+exact)"
"https://www.instagram.com/p/DY0zIiVkUM5/","stack-parser-ts-v10",15,"theblacktux","suits","attire","menswear","exact","exact"
"https://www.instagram.com/p/DY2aJdOlqzE/","stack-parser-ts-v10",10,"casablancabridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY2aJdOlqzE/","stack-parser-ts-v10",10,"yesidobridalaz","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY2Qzy-FHGG/","stack-parser-ts-v10",9,"graceandivoryofficial","Dresses","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY2Qzy-FHGG/","stack-parser-ts-v10",10,"suitshopofficial","Suit","attire","menswear","exact","exact"
"https://www.instagram.com/p/DY2Qzy-FHGG/","stack-parser-ts-v10",11,"somethingwhitestyling","Party Dresses","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY2Qzy-FHGG/","stack-parser-ts-v10",12,"jaxiebridal","Accessories","accessories","accessories","exact","exact"
"https://www.instagram.com/p/DY3RoxwDWN3/","stack-parser-ts-v10",29,"vwidon","Wedding Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY3Yh80DHxA/","stack-parser-ts-v10",9,"theweddingdresser","WEDDING DRESSER","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY3Yh80DHxA/","stack-parser-ts-v10",10,"markingramatelier","DRESS DESIGNER","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY48WRtFoyR/","stack-parser-ts-v10",11,"pninatornai","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY48WRtFoyR/","stack-parser-ts-v10",12,"kleinfeldbridal","Shop","attire","wedding_dress","h.attire","h.wedding_dress"
"https://www.instagram.com/p/DY48WRtFoyR/","stack-parser-ts-v10",13,"saulee","Second Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY48WRtFoyR/","stack-parser-ts-v10",14,"ninetailor_shop","Suit","attire","menswear","exact","exact"
"https://www.instagram.com/p/DY49w_5Dpkt/","stack-parser-ts-v10",7,"reemacrawedding","Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY4y4_xFTn4/","stack-parser-ts-v10",15,"honey_bridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY4y4_xFTn4/","stack-parser-ts-v10",17,"dgcustomsuits","Suit","attire","menswear","exact","exact"
"https://www.instagram.com/p/DY55w71ikXO/","stack-parser-ts-v10",14,"manoloblahnik","BRIDAL ATTIRE","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY55w71ikXO/","stack-parser-ts-v10",14,"daniellefrankelbride","BRIDAL ATTIRE","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY55w71ikXO/","stack-parser-ts-v10",15,"indochinoweddings","GROOM ATTIRE","attire","menswear","exact","exact"
"https://www.instagram.com/p/DY5AoFjEdtt/","stack-parser-ts-v10",16,"graceandivoryofficial","Wedding Dress Attire","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY5AoFjEdtt/","stack-parser-ts-v10",17,"drlucas_wearyourstory","Wedding Tux Attire","attire","menswear","exact","exact"
"https://www.instagram.com/p/DY5c12lR2gf/","stack-parser-ts-v10",8,"brizancouture","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY5c12lR2gf/","stack-parser-ts-v10",9,"ahandtailoredsuit","Tux","attire","menswear","exact","exact"
"https://www.instagram.com/p/DY5DgTZDPcZ/","stack-parser-ts-v10",12,"foundbysteph","Vintage Dress","attire","wedding_dress","h.attire","h.wedding_dress"
"https://www.instagram.com/p/DY5RrDvvJ8H/","stack-parser-ts-v10",5,"atelierigarbridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY61UErDvDx/","stack-parser-ts-v10",6,"wolsfeltsbridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY61UErDvDx/","stack-parser-ts-v10",7,"azaziebridal","Bridesmaids' Dresses","attire","bridesmaid_attire","exact","exact"
"https://www.instagram.com/p/DY61UErDvDx/","stack-parser-ts-v10",10,"kosacksblacktiejoliet","Menswear","attire","menswear","exact","exact"
"https://www.instagram.com/p/DY764uXqIzE/","stack-parser-ts-v10",9,"ultimatebridechicago","Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY7BNdwRxN9/","stack-parser-ts-v10",14,"lovebridalboutique","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY7Uti5jhKs/","stack-parser-ts-v10",4,"mandyligocki","👰‍♀️","attire","wedding_dress","emoji","emoji"
"https://www.instagram.com/p/DY7vx4ohVsO/","stack-parser-ts-v10",11,"bellebridalatelier","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY7vx4ohVsO/","stack-parser-ts-v10",12,"jybespoke_chicago","Tux","attire","menswear","exact","exact"
"https://www.instagram.com/p/DY7wQz1oLnf/","stack-parser-ts-v10",9,"theweddingdresser","WEDDING DRESSER","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY7wQz1oLnf/","stack-parser-ts-v10",10,"markingramatelier","DRESS DESIGNER","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY7wSa-IE52/","stack-parser-ts-v10",9,"cicadabridalseattle","Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY7wSa-IE52/","stack-parser-ts-v10",10,"rubysuits","Suit","attire","menswear","exact","exact"
"https://www.instagram.com/p/DY8M-GkPvxr/","stack-parser-ts-v10",6,"vollesbridal","Bridal Boutique","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DY8Ue8ARKkK/","stack-parser-ts-v10",7,"theweddingdresser","Dresser","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYA6im_GVKX/","stack-parser-ts-v10",9,"daniellefrankel","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYaE8SFERvs/","stack-parser-ts-v10",6,"graceandivoryofficial","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYaE8SFERvs/","stack-parser-ts-v10",7,"chicagoweddingdresser","Dresser","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYAkXmZD_5h/","stack-parser-ts-v10",6,"varca.studio","Wedding dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYAkXmZD_5h/","stack-parser-ts-v10",6,"bellebridalatelier","Wedding dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYAOScxkTHc/","stack-parser-ts-v10",4,"dimitrasbridalcouture","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYBAXaoS74c/","stack-parser-ts-v10",23,"newhite_bridal","Dress Designer","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYBAXaoS74c/","stack-parser-ts-v10",24,"bellebridalatelier","Dress Store","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYBGYJsNctp/","stack-parser-ts-v10",13,"ultimatebridechicago","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/DYBOYnBE5Jb/","stack-parser-ts-v10",18,"londie.bridal","Gown Salon","attire","wedding_dress","exact","exact"
